,ID Candidato,Género,Carrera Gestional,Avance,Semestres Totales,Postulados Si/No,Evaluados Si/No,Altamente Recomendado,Operaciones-Calidad,MTTO-DIMA,Comercial-Planeamiento,DIGI-SC,Resto-Soft,Apto/No Apto,Destacado Pym,Ingles,Apto/ Destacado,Ingresados Si/No
911,911.0,M,Negocios Internacionales,,,Si,Si,,1,3,1,1,5,1,0,0, ,0
912,912.0,F,Relaciones Internacionales,,,Si,Si,,1,1,1,3,3,1,0,0, ,0
913,913.0,F,Ing. Química,,,Si,Si,,0,0,0,0,0,0,0,0, ,0
914,914.0,F,Derecho/Ciencias Políticas,,,Si,Si,,0,0,0,0,0,0,0,0, ,0
915,915.0,M,Contabilidad,,,Si,Si,,0,0,0,0,0,0,0,0, ,0
916,916.0,M,Ing. Innovación y Desarrollo,,,Si,Si,,1,3,5,1,3,1,1,0, ,0
917,917.0,M,Ing. Mecánica,,,Si,Si,,0,0,0,0,0,0,0,0, ,0
918,918.0,F,Mercadotecnia,,,Si,Si,,1,1,1,1,1,0,0,0, ,0
919,919.0,M,Ing. Industrial,,,Si,Si,,1,1,5,1,1,1,1,0, ,0
920,920.0,F,Economía/Finanzas,,,Si,Si,,1,3,1,1,3,1,0,0, ,0
921,921.0,F,Ing. Física,,,Si,Si,,0,0,0,0,0,0,0,0, ,0
922,922.0,M,Ing. Nanotecnología,,,Si,Si,,1,1,1,3,1,1,0,0, ,0
923,923.0,F,Ing. Química,,,Si,Si,,1,3,1,1,5,1,0,0, ,0
924,924.0,F,Contabilidad,,,Si,Si,,0,0,0,0,0,0,0,0, ,0
925,925.0,M,Ing. Nanotecnología,,,Si,Si,,0,0,0,0,0,0,0,0, ,0
926,926.0,M,Ing. Química,,,Si,Si,,3,5,1,5,1,1,1,0,1,0
927,927.0,M,Ing. Física,,,Si,Si,,1,1,1,1,1,0,0,0, ,0
928,928.0,M,Contabilidad,,,Si,Si,,1,1,1,3,1,1,0,0, ,0
929,929.0,F,Ing. Nanotecnología,,,Si,Si,,1,1,1,3,1,1,0,0, ,0
930,930.0,M,Ing. Química,,,Si,Si,,5,1,1,3,1,1,1,0, ,0
931,931.0,M,Ing. Mecánica,,,Si,Si,,0,0,0,0,0,0,0,0, ,0
